Tanggal,qty,Jumlah
2018-06-07,6501,33480150
2018-06-08,4849,24972350
2018-06-09,4533,23344950
2018-06-10,3313,17061950
2018-06-11,4110,21166500
2018-06-12,2911,14991650
2018-06-13,1878,9671700
2018-06-14,1920,9888000
2018-06-15,478,2461700
2018-06-16,539,2775850
2018-06-17,1296,6674400
2018-06-18,1131,5824650
2018-06-19,1309,6741350
2018-06-20,2455,12643250
2018-06-21,3543,18246450
2018-06-22,735,3785250
2018-06-23,2674,13771100
2018-06-24,5411,27866650
2018-06-26,4628,23835100
2018-06-27,3431,17664500
2018-06-28,3646,18776900
2018-06-29,4040,20806000
2018-06-30,3219,16577850
2018-07-01,3713,19121950
2018-07-02,815,4197258
2018-07-03,5764,29710350
2018-07-04,2173,11190950
2018-07-05,5216,26862400
2018-07-06,4929,25384350
2018-07-07,3992,20558800
2018-07-08,4212,21691800
2018-07-09,5835,30050250
2018-07-10,4472,23030800
2018-07-11,3562,18344300
2018-07-12,7709,39701350
2018-07-13,1668,8590200
2018-07-14,6053,31172958
2018-07-17,4742,24421300
2018-07-18,3364,17324600
2018-07-19,8119,41812850
2018-07-20,5970,30745500
2018-07-21,5712,29416800
2018-07-22,4228,21774200
2018-07-24,7414,38182100
2018-07-25,6404,32980600
2018-07-26,6800,35017000
2018-07-27,5886,30312900
2018-07-28,6455,33243250
2018-07-29,2679,13796850
2018-07-30,3994,20569100
2018-07-31,4981,25652150
2018-08-01,8497,43759550
2018-08-02,6396,32939400
2018-08-03,6614,34062100
2018-08-04,5956,30673400
2018-08-05,6130,32408950
2018-08-06,1057,5443550
2018-08-07,7071,36415650
2018-08-08,6862,35339300
2018-08-09,4547,23417050
2018-08-10,6123,31533450
2018-08-11,5382,27717300
2018-08-12,2009,10346350
2018-08-15,5904,30405600
2018-08-16,5673,29215950
2018-08-17,2967,15281050
2018-08-18,4377,22541550
2018-08-19,3137,16155550
2018-08-20,1812,9331800
2018-08-21,4372,22515800
2018-08-22,3395,17484250
2018-08-23,5414,27882100
2018-08-24,6175,31801250
2018-08-25,5775,29741250
2018-08-26,4081,21017150
2018-08-27,2443,12581450
2018-08-28,5921,30493150
2018-08-29,6138,31610700
2018-08-30,6451,33222650
2018-08-31,5719,29452850
2018-09-01,6490,33423500
2018-09-02,4708,24246200
2018-09-03,3990,20548500
2018-09-04,8251,42492650
2018-09-05,10789,55563350
2018-09-06,9532,49089800
2018-09-07,6033,31069950
2018-09-08,7951,40947650
2018-09-09,5140,26471000
2018-09-11,5601,28845150
2018-09-12,7566,38964900
2018-09-13,10983,56562450
2018-09-14,9658,49739500
2018-09-15,12290,63293450
2018-09-16,10662,54909300
2018-09-17,6766,34844900
2018-09-18,10739,55305650
2018-09-19,10080,51912000
2018-09-20,9005,46375750
2018-09-21,8547,44017050
2018-09-22,10374,53426100
2018-09-23,11435,58890250
2018-09-24,11693,60218950
2018-09-25,11965,61619750
2018-09-26,9398,48399700
2018-09-27,11294,58164100
2018-09-28,13478,69411700
2018-09-29,9530,49079500
2018-09-30,8711,44861650
2018-10-01,8328,42889200
2018-10-02,8933,46004950
2018-10-03,7639,39356300
2018-10-04,7961,40999150
2018-10-05,7795,40144200
2018-10-06,7182,36987300
2018-10-07,7492,38583800
2018-10-08,8278,42630750
